census_tract,total_pop,under_5,5_to_9,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Selected Age Categories,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,Male population,Under 5 years,5 to 9 years,10 to 14 years_1,15 to 19 years_1,20 to 24 years_1,25 to 29 years_1,30 to 34 years_1,35 to 39 years_1,40 to 44 years_1,45 to 49 years_1,50 to 54 years_1,55 to 59 years_1,60 to 64 years_1,65 to 69 years_1,70 to 74 years_1,75 to 79 years_1,80 to 84 years_1,85 years and over_1,Selected Age Categories_1,16 years and over_1,18 years and over_1,21 years and over_1,62 years and over_1,65 years and over_1,Female population,Under 5 years_1,5 to 9 years_1,10 to 14 years_2,15 to 19 years_2,20 to 24 years_2,25 to 29 years_2,30 to 34 years_2,35 to 39 years_2,40 to 44 years_2,45 to 49 years_2,50 to 54 years_2,55 to 59 years_2,60 to 64 years_2,65 to 69 years_2,70 to 74 years_2,75 to 79 years_2,80 to 84 years_2,85 years and over_2,Selected Age Categories_2,16 years and over_2,18 years and over_2,21 years and over_2,62 years and over_2,65 years and over_2,MEDIAN AGE BY SEX,Both sexes,Male,Female,RACE,Total population,One Race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,TOTAL RACES TALLIED [1],Total races tallied,White alone or in combination with one or more other races,Black or African American alone or in combination with one or more other races,American Indian and Alaska Native alone or in combination with one or more other races,Asian alone or in combination with one or more other races,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Some Other Race alone or in combination with one or more other races,HISPANIC OR LATINO,Total population_1,Hispanic or Latino (of any race),Not Hispanic or Latino,HISPANIC OR LATINO BY RACE,Total population_2,Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races_1,Not Hispanic or Latino_1,White alone_1,Black or African American alone_1,American Indian and Alaska Native alone_1,Asian alone_1,Native Hawaiian and Other Pacific Islander alone_1,Some Other Race alone_1,Two or More Races_2,RELATIONSHIP,Total population_3,In households,Householder,Opposite-sex spouse,Same-sex spouse,Opposite-sex unmarried partner,Same-sex unmarried partner,Child [2],Under 18 years,Grandchild,Under 18 years_1,Other relatives,Nonrelatives,In group quarters,Institutionalized population:,Male_1,Female_1,Noninstitutionalized population:,Male_2,Female_2,HOUSEHOLDS BY TYPE,Total households,Married couple household,With own children under 18 [3],Cohabiting couple household,With own children under 18 [3]_1,"Male householder, no spouse or partner present:",Living alone,65 years and over_3,With own children under 18 [3]_2,"Female householder, no spouse or partner present:",Living alone_1,65 years and over_4,With own children under 18 [3]_3,Households with individuals under 18 years,Households with individuals 65 years and over,HOUSING OCCUPANCY,Total housing units,Occupied housing units,Vacant housing units,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",All other vacants,VACANCY RATES,Homeowner vacancy rate (percent) [4],Rental vacancy rate (percent) [5],HOUSING TENURE,Occupied housing units_1,Owner-occupied housing units,Renter-occupied housing units,near_hblr,white_pct,black_pct,asian_pct,amerindian_pct,other_pct,hispanic_pct,near_path
Census Tract 13; Hudson County; New Jersey!!Percent,100.00%,4.20%,3.40%,4.20%,4.10%,7.10%,12.30%,14.30%,9.80%,6.70%,7.10%,5.20%,4.40%,4.50%,3.80%,3.60%,1.70%,1.70%,1.90%,,87.40%,86.00%,83.20%,15.30%,12.80%,100.00%,3.50%,3.30%,4.40%,4.60%,7.30%,13.10%,14.40%,10.40%,6.80%,7.40%,5.00%,3.90%,4.20%,4.00%,3.60%,1.30%,1.70%,1.10%,,88.00%,86.30%,83.10%,14.00%,11.80%,100.00%,4.90%,3.50%,4.10%,3.50%,6.80%,11.40%,14.10%,9.10%,6.70%,6.80%,5.40%,5.00%,4.90%,3.60%,3.50%,2.10%,1.70%,2.80%,,86.80%,85.60%,83.20%,16.60%,13.80%,,(X),(X),(X),,100.00%,86.10%,41.70%,6.30%,0.70%,17.10%,0.10%,20.10%,13.90%,,115.30%,53.00%,9.70%,1.80%,18.70%,0.60%,31.50%,,100.00%,36.70%,63.30%,,100.00%,36.70%,6.60%,0.70%,0.60%,0.00%,0.00%,18.40%,10.30%,63.30%,35.00%,5.60%,0.20%,17.10%,0.10%,1.70%,3.70%,,100.00%,94.90%,42.60%,12.50%,0.40%,4.20%,0.20%,21.20%,12.80%,1.40%,0.80%,4.40%,7.90%,5.10%,5.10%,2.10%,2.90%,0.00%,0.00%,0.00%,,100.00%,29.80%,12.40%,11.10%,2.50%,28.80%,18.60%,2.50%,1.20%,30.30%,15.10%,3.90%,5.20%,23.50%,17.30%,,100.00%,89.00%,11.00%,4.20%,0.00%,1.50%,0.40%,0.20%,4.80%,,(X),(X),,100.00%,31.40%,68.60%,False,35.0,5.6,17.1,0.2,1.7,36.7,False
Census Tract 14; Hudson County; New Jersey!!Percent,100.00%,5.50%,5.50%,5.10%,4.80%,6.90%,12.60%,11.90%,10.20%,6.60%,6.40%,5.60%,5.70%,4.10%,3.40%,2.50%,1.80%,0.70%,0.80%,,83.20%,80.90%,77.90%,11.50%,9.10%,100.00%,5.00%,5.60%,5.50%,4.60%,7.10%,13.30%,13.00%,11.10%,6.60%,6.50%,5.30%,5.20%,3.80%,3.00%,1.90%,1.40%,0.30%,0.40%,,83.20%,80.80%,78.00%,9.30%,7.00%,100.00%,5.90%,5.30%,4.80%,4.90%,6.60%,11.70%,10.80%,9.20%,6.70%,6.30%,5.90%,6.20%,4.30%,3.80%,3.10%,2.20%,1.20%,1.20%,,83.20%,81.10%,77.90%,13.80%,11.40%,,(X),(X),(X),,100.00%,87.50%,28.70%,7.20%,1.00%,27.80%,0.00%,22.80%,12.50%,,113.40%,38.40%,11.20%,2.20%,29.00%,0.30%,32.30%,,100.00%,38.90%,61.10%,,100.00%,38.90%,5.40%,1.70%,0.50%,0.10%,0.00%,21.80%,9.40%,61.10%,23.30%,5.50%,0.50%,27.70%,0.00%,1.10%,3.10%,,100.00%,99.70%,40.20%,13.20%,0.40%,3.20%,0.40%,26.40%,16.80%,1.90%,1.50%,7.00%,7.00%,0.30%,0.30%,0.10%,0.20%,0.00%,0.00%,0.00%,,100.00%,33.80%,15.70%,9.30%,2.70%,27.60%,16.60%,1.80%,1.80%,29.20%,13.80%,4.20%,6.30%,29.40%,17.80%,,100.00%,90.00%,10.00%,3.10%,2.40%,1.10%,0.10%,0.50%,2.80%,,(X),(X),,100.00%,18.60%,81.40%,False,23.3,5.5,27.7,0.5,1.1,38.9,False
Census Tract 17.01; Hudson County; New Jersey!!Percent,100.00%,6.90%,6.90%,5.80%,5.30%,8.00%,12.90%,13.00%,8.40%,7.20%,5.00%,5.50%,4.40%,4.00%,2.50%,1.30%,1.30%,0.60%,0.90%,,79.20%,76.80%,74.10%,9.10%,6.50%,100.00%,6.80%,7.40%,5.30%,5.00%,8.30%,13.30%,13.40%,8.70%,7.30%,5.30%,5.80%,3.70%,4.20%,2.30%,1.40%,1.10%,0.30%,0.60%,,79.40%,76.90%,74.40%,8.20%,5.60%,100.00%,7.10%,6.30%,6.30%,5.50%,7.60%,12.50%,12.70%,8.20%,7.10%,4.80%,5.20%,5.10%,3.90%,2.70%,1.20%,1.50%,1.00%,1.20%,,78.90%,76.70%,73.60%,10.10%,7.60%,,(X),(X),(X),,100.00%,90.30%,24.60%,12.90%,0.70%,39.30%,0.00%,12.80%,9.70%,,110.20%,32.90%,15.30%,1.30%,41.60%,0.20%,18.80%,,100.00%,21.50%,78.50%,,100.00%,21.50%,2.50%,1.00%,0.40%,0.10%,0.00%,11.70%,5.90%,78.50%,22.10%,11.90%,0.40%,39.20%,0.00%,1.10%,3.80%,,100.00%,99.50%,36.10%,13.50%,0.50%,2.10%,0.20%,29.20%,20.60%,2.10%,1.70%,7.90%,8.00%,0.50%,0.00%,0.00%,0.00%,0.50%,0.20%,0.20%,,100.00%,38.90%,17.80%,5.90%,1.10%,27.60%,13.80%,1.80%,2.70%,27.60%,11.80%,2.40%,6.90%,30.80%,16.20%,,100.00%,92.30%,7.70%,4.70%,0.50%,0.10%,0.10%,0.10%,2.20%,,(X),(X),,100.00%,22.80%,77.20%,False,22.1,11.9,39.2,0.4,1.1,21.5,False
Census Tract 18; Hudson County; New Jersey!!Percent,100.00%,8.00%,7.30%,6.60%,4.50%,6.40%,11.70%,12.40%,8.50%,6.20%,6.40%,4.90%,4.70%,4.10%,3.40%,2.10%,1.40%,0.90%,0.50%,,77.00%,75.50%,72.30%,10.60%,8.30%,100.00%,7.90%,8.00%,6.60%,5.00%,6.70%,12.00%,10.90%,8.00%,7.30%,6.10%,4.50%,5.40%,3.70%,3.30%,1.80%,1.60%,0.80%,0.20%,,76.60%,74.80%,70.90%,9.70%,7.90%,100.00%,8.10%,6.60%,6.60%,3.90%,6.10%,11.30%,13.90%,8.90%,5.00%,6.70%,5.40%,3.90%,4.60%,3.50%,2.50%,1.10%,1.00%,0.70%,,77.40%,76.10%,73.80%,11.50%,8.80%,,(X),(X),(X),,100.00%,91.50%,25.10%,13.80%,0.90%,39.20%,0.10%,12.20%,8.50%,,110.00%,31.90%,16.40%,1.90%,41.60%,0.40%,17.70%,,100.00%,21.40%,78.60%,,100.00%,21.40%,2.70%,1.30%,0.60%,0.00%,0.10%,11.30%,5.30%,78.60%,22.40%,12.50%,0.40%,39.20%,0.00%,0.90%,3.20%,,100.00%,100.00%,38.70%,14.30%,0.20%,1.70%,0.20%,31.10%,22.40%,1.60%,1.20%,6.00%,6.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,37.90%,21.20%,4.40%,0.80%,25.80%,13.50%,2.80%,2.00%,31.90%,13.40%,3.10%,9.70%,36.10%,17.40%,,100.00%,91.40%,8.60%,5.80%,0.40%,0.20%,0.50%,0.10%,1.70%,,(X),(X),,100.00%,10.80%,89.20%,False,22.4,12.5,39.2,0.4,0.9,21.4,False
Census Tract 19; Hudson County; New Jersey!!Percent,100.00%,3.70%,2.80%,1.70%,2.10%,8.60%,23.50%,19.40%,10.10%,5.70%,4.20%,3.20%,4.10%,4.10%,2.20%,2.30%,0.80%,0.90%,0.60%,,91.20%,90.50%,89.10%,8.70%,6.70%,100.00%,3.10%,2.80%,1.70%,1.20%,7.30%,22.30%,19.80%,11.80%,6.50%,4.90%,3.60%,4.90%,4.40%,2.00%,2.10%,0.50%,0.50%,0.50%,,92.30%,91.70%,91.10%,7.40%,5.60%,100.00%,4.40%,2.80%,1.70%,3.10%,10.30%,25.00%,18.90%,8.10%,4.80%,3.30%,2.80%,3.00%,3.70%,2.40%,2.50%,1.20%,1.20%,0.70%,,89.90%,89.00%,86.70%,10.30%,8.00%,,(X),(X),(X),,100.00%,92.40%,23.40%,7.00%,0.80%,55.40%,0.00%,5.80%,7.60%,,108.30%,29.00%,8.40%,2.30%,57.40%,0.30%,10.80%,,100.00%,12.30%,87.70%,,100.00%,12.30%,1.50%,0.40%,0.70%,0.20%,0.00%,5.10%,4.30%,87.70%,21.90%,6.60%,0.10%,55.20%,0.00%,0.60%,3.40%,,100.00%,99.10%,50.20%,15.10%,0.60%,5.10%,0.10%,12.70%,8.20%,0.50%,0.50%,5.70%,9.20%,0.90%,0.00%,0.00%,0.00%,0.90%,0.70%,0.10%,,100.00%,32.00%,8.90%,10.80%,0.40%,34.60%,25.70%,1.60%,1.00%,22.60%,14.90%,2.30%,1.30%,12.80%,9.80%,,100.00%,88.20%,11.80%,10.00%,0.30%,0.20%,0.00%,0.30%,0.90%,,(X),(X),,100.00%,4.10%,95.90%,False,21.9,6.6,55.2,0.1,0.6,12.3,True
Census Tract 20.01; Hudson County; New Jersey!!Percent,100.00%,5.90%,3.60%,3.30%,3.40%,6.00%,14.90%,14.80%,9.50%,6.30%,4.90%,4.90%,6.00%,5.50%,4.40%,2.50%,1.80%,1.70%,0.70%,,86.60%,85.30%,83.20%,14.60%,11.10%,100.00%,5.60%,4.30%,3.40%,3.70%,6.10%,14.80%,15.00%,10.40%,7.00%,4.00%,4.40%,5.50%,5.50%,4.00%,2.60%,1.70%,1.70%,0.30%,,86.20%,85.40%,82.30%,14.00%,10.30%,100.00%,6.30%,2.90%,3.10%,3.10%,6.00%,14.90%,14.50%,8.30%,5.60%,5.80%,5.40%,6.50%,5.40%,4.90%,2.30%,1.90%,1.80%,1.20%,,87.10%,85.20%,84.40%,15.20%,12.10%,,(X),(X),(X),,100.00%,89.70%,27.00%,5.90%,0.90%,46.80%,0.00%,9.20%,10.30%,,110.90%,35.60%,8.30%,1.40%,48.60%,0.10%,16.90%,,100.00%,18.40%,81.60%,,100.00%,18.40%,2.30%,0.60%,0.50%,0.20%,0.00%,8.30%,6.60%,81.60%,24.70%,5.30%,0.40%,46.50%,0.00%,0.90%,3.70%,,100.00%,100.00%,42.90%,16.30%,0.10%,1.50%,0.10%,19.90%,13.70%,0.60%,0.30%,5.60%,13.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,38.60%,16.90%,3.90%,0.30%,32.60%,17.70%,2.20%,2.00%,24.90%,16.00%,4.20%,2.30%,23.20%,20.30%,,100.00%,92.20%,7.80%,5.70%,0.00%,0.00%,0.50%,0.00%,1.60%,,(X),(X),,100.00%,12.20%,87.80%,False,24.7,5.3,46.5,0.4,0.9,18.4,True
Census Tract 20.02; Hudson County; New Jersey!!Percent,100.00%,6.50%,4.60%,3.80%,3.70%,5.80%,13.20%,14.00%,9.80%,5.70%,5.20%,5.40%,6.70%,4.80%,4.40%,2.50%,2.00%,1.30%,0.60%,,84.20%,82.90%,80.60%,13.80%,10.70%,100.00%,6.20%,4.80%,4.10%,3.70%,5.90%,12.70%,14.00%,11.10%,5.30%,5.30%,4.70%,6.50%,5.10%,5.00%,2.50%,1.60%,1.30%,0.20%,,84.40%,82.80%,80.30%,14.30%,10.60%,100.00%,6.90%,4.40%,3.50%,3.70%,5.60%,13.80%,14.10%,8.30%,6.20%,5.00%,6.10%,7.00%,4.60%,3.70%,2.60%,2.40%,1.30%,1.00%,,84.00%,83.10%,80.90%,13.30%,10.90%,,(X),(X),(X),,100.00%,88.70%,33.50%,9.20%,0.70%,36.10%,0.30%,8.90%,11.30%,,112.90%,42.90%,12.00%,2.40%,37.60%,0.90%,17.20%,,100.00%,20.40%,79.60%,,100.00%,20.40%,2.30%,0.70%,0.50%,0.60%,0.20%,7.80%,8.20%,79.60%,31.20%,8.50%,0.20%,35.50%,0.10%,1.10%,3.00%,,100.00%,99.60%,47.20%,14.30%,0.60%,2.60%,0.20%,21.40%,15.30%,0.80%,0.80%,6.70%,5.80%,0.40%,0.00%,0.00%,0.00%,0.40%,0.40%,0.00%,,100.00%,31.20%,13.80%,6.20%,1.20%,33.30%,23.10%,4.10%,0.70%,29.40%,19.40%,5.10%,2.40%,20.70%,16.40%,,100.00%,89.10%,10.90%,7.90%,0.50%,0.30%,0.10%,0.10%,2.00%,,(X),(X),,100.00%,6.70%,93.30%,False,31.2,8.5,35.5,0.2,1.1,20.4,True
Census Tract 22; Hudson County; New Jersey!!Percent,100.00%,6.20%,2.80%,2.30%,1.20%,3.30%,15.80%,20.00%,15.80%,9.20%,5.30%,3.70%,3.50%,2.90%,2.50%,2.00%,1.20%,1.30%,1.00%,,88.60%,88.00%,87.20%,9.60%,8.00%,100.00%,5.90%,2.80%,3.00%,1.40%,2.40%,14.50%,18.90%,16.30%,10.40%,5.70%,4.20%,4.40%,3.10%,3.20%,1.10%,1.00%,1.20%,0.30%,,88.30%,87.40%,86.60%,8.90%,7.00%,100.00%,6.50%,2.90%,1.50%,0.90%,4.30%,17.20%,21.30%,15.30%,7.90%,4.90%,3.10%,2.60%,2.60%,1.60%,2.80%,1.40%,1.40%,1.70%,,88.90%,88.60%,87.80%,10.40%,9.00%,,(X),(X),(X),,100.00%,88.70%,58.90%,4.90%,0.40%,18.20%,0.10%,6.20%,11.30%,,112.30%,68.70%,7.40%,1.90%,21.10%,0.20%,13.00%,,100.00%,16.60%,83.40%,,100.00%,16.60%,3.90%,0.50%,0.20%,0.30%,0.10%,5.40%,6.10%,83.40%,55.00%,4.40%,0.20%,17.90%,0.00%,0.80%,5.20%,,100.00%,99.70%,51.00%,15.70%,0.70%,6.30%,0.80%,14.50%,11.10%,0.50%,0.50%,3.40%,6.70%,0.30%,0.00%,0.00%,0.00%,0.30%,0.10%,0.10%,,100.00%,33.40%,12.70%,14.00%,0.60%,26.80%,18.90%,1.80%,1.30%,25.80%,16.80%,3.80%,1.40%,16.40%,13.50%,,100.00%,91.50%,8.50%,4.20%,1.10%,1.00%,0.00%,0.30%,1.90%,,(X),(X),,100.00%,37.70%,62.30%,False,55.0,4.4,17.9,0.2,0.8,16.6,False
Census Tract 23; Hudson County; New Jersey!!Percent,100.00%,5.80%,4.30%,2.50%,1.70%,4.40%,18.00%,19.70%,14.20%,7.70%,6.30%,4.40%,2.80%,3.30%,2.10%,1.10%,0.80%,0.40%,0.60%,,86.80%,86.10%,85.30%,7.00%,5.00%,100.00%,6.60%,4.10%,2.30%,1.30%,5.20%,18.10%,17.90%,14.50%,8.20%,7.00%,4.70%,2.80%,3.20%,1.80%,0.90%,0.60%,0.60%,0.20%,,86.60%,86.20%,85.50%,6.00%,4.00%,100.00%,5.10%,4.40%,2.70%,2.20%,3.50%,17.80%,21.60%,13.90%,7.10%,5.60%,4.10%,2.70%,3.40%,2.40%,1.20%,1.00%,0.30%,1.10%,,87.10%,86.00%,85.10%,8.10%,6.00%,,(X),(X),(X),,100.00%,87.20%,54.50%,4.90%,0.00%,21.90%,0.00%,5.80%,12.80%,,114.10%,66.20%,7.70%,1.10%,24.90%,0.50%,13.60%,,100.00%,15.50%,84.50%,,100.00%,15.50%,2.80%,0.70%,0.00%,0.10%,0.00%,5.20%,6.70%,84.50%,51.70%,4.20%,0.00%,21.80%,0.00%,0.60%,6.20%,,100.00%,100.00%,48.50%,16.40%,1.00%,6.00%,0.60%,16.10%,12.90%,0.60%,0.60%,2.70%,8.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,35.30%,13.50%,13.70%,0.70%,25.90%,17.90%,1.20%,1.70%,25.10%,14.50%,2.00%,1.90%,18.80%,10.80%,,100.00%,91.20%,8.80%,5.10%,0.50%,0.00%,0.40%,0.70%,2.10%,,(X),(X),,100.00%,34.40%,65.60%,False,51.7,4.2,21.8,0.0,0.6,15.5,False
Census Tract 24; Hudson County; New Jersey!!Percent,100.00%,8.10%,4.20%,3.10%,2.10%,2.50%,11.10%,18.50%,15.10%,9.30%,7.00%,5.50%,4.50%,3.10%,2.10%,1.70%,1.10%,0.40%,0.60%,,84.10%,83.10%,82.30%,7.40%,5.90%,100.00%,8.90%,4.20%,2.60%,2.20%,1.90%,10.00%,17.50%,15.90%,10.10%,7.40%,5.40%,5.00%,3.50%,2.10%,1.60%,0.90%,0.50%,0.50%,,83.60%,82.80%,82.10%,7.40%,5.60%,100.00%,7.20%,4.30%,3.60%,2.00%,3.30%,12.40%,19.60%,14.30%,8.50%,6.60%,5.60%,4.00%,2.60%,2.10%,1.90%,1.30%,0.30%,0.70%,,84.70%,83.30%,82.60%,7.50%,6.20%,,(X),(X),(X),,100.00%,88.60%,65.00%,3.50%,0.20%,16.10%,0.10%,3.70%,11.40%,,112.50%,75.80%,5.90%,1.00%,19.70%,0.10%,9.90%,,100.00%,12.80%,87.20%,,100.00%,12.80%,3.80%,0.30%,0.10%,0.20%,0.00%,3.10%,5.20%,87.20%,61.20%,3.20%,0.00%,16.00%,0.00%,0.60%,6.10%,,100.00%,99.80%,48.10%,18.90%,0.90%,5.50%,0.90%,19.10%,16.40%,0.30%,0.20%,1.40%,4.80%,0.20%,0.00%,0.00%,0.00%,0.20%,0.10%,0.10%,,100.00%,40.80%,17.80%,13.00%,0.80%,22.80%,17.50%,1.00%,1.20%,23.40%,15.80%,2.10%,1.90%,22.80%,8.80%,,100.00%,91.30%,8.70%,3.60%,0.60%,0.70%,0.20%,0.70%,2.80%,,(X),(X),,100.00%,39.60%,60.40%,False,61.2,3.2,16.0,0.0,0.6,12.8,False
Census Tract 27; Hudson County; New Jersey!!Percent,100.00%,6.50%,7.30%,7.00%,6.00%,7.60%,9.70%,8.50%,9.20%,6.80%,7.30%,5.50%,5.30%,4.90%,3.80%,2.10%,1.30%,0.60%,0.50%,,77.90%,75.40%,71.90%,11.20%,8.30%,100.00%,6.30%,8.10%,6.90%,6.50%,8.50%,10.50%,8.00%,8.90%,6.20%,7.50%,4.90%,4.80%,5.40%,3.50%,1.90%,1.10%,0.60%,0.30%,,77.10%,74.50%,70.70%,10.70%,7.40%,100.00%,6.70%,6.50%,7.10%,5.60%,6.80%,9.00%,9.10%,9.50%,7.40%,7.00%,6.10%,5.80%,4.40%,4.10%,2.30%,1.50%,0.60%,0.60%,,78.80%,76.30%,73.00%,11.60%,9.10%,,(X),(X),(X),,100.00%,90.60%,25.40%,20.80%,0.90%,24.20%,0.20%,19.20%,9.40%,,110.10%,32.30%,24.00%,2.00%,25.80%,0.40%,25.60%,,100.00%,28.90%,71.10%,,100.00%,28.90%,4.80%,1.60%,0.60%,0.00%,0.00%,16.60%,5.40%,71.10%,20.60%,19.30%,0.30%,24.10%,0.20%,2.70%,4.00%,,100.00%,95.40%,32.00%,12.80%,0.20%,1.60%,0.20%,31.40%,21.50%,2.40%,2.00%,8.00%,6.80%,4.60%,2.60%,1.30%,1.30%,2.00%,0.90%,1.10%,,100.00%,40.30%,20.90%,5.20%,1.90%,23.80%,10.80%,2.20%,2.20%,30.70%,11.80%,3.30%,9.10%,37.20%,19.00%,,100.00%,91.30%,8.70%,4.30%,0.40%,0.60%,0.20%,0.60%,2.70%,,(X),(X),,100.00%,28.50%,71.50%,False,20.6,19.3,24.1,0.3,2.7,28.9,False
Census Tract 28; Hudson County; New Jersey!!Percent,100.00%,5.80%,4.60%,4.00%,4.30%,9.00%,9.90%,10.70%,8.60%,6.00%,5.60%,5.40%,6.00%,5.70%,4.30%,4.00%,2.40%,2.00%,1.80%,,85.00%,83.60%,78.90%,17.60%,14.50%,100.00%,5.80%,4.60%,4.40%,4.90%,9.50%,9.60%,11.20%,9.30%,6.40%,5.00%,5.50%,6.10%,6.20%,3.90%,3.20%,1.80%,1.60%,1.00%,,84.70%,83.30%,78.00%,14.70%,11.50%,100.00%,5.90%,4.50%,3.60%,3.80%,8.40%,10.10%,10.30%,7.80%,5.60%,6.10%,5.40%,5.90%,5.20%,4.60%,4.80%,2.90%,2.50%,2.50%,,85.40%,83.90%,79.70%,20.30%,17.40%,,(X),(X),(X),,100.00%,87.60%,34.90%,15.30%,0.90%,21.10%,0.00%,15.50%,12.40%,,113.00%,45.10%,18.40%,1.70%,22.90%,0.20%,24.80%,,100.00%,28.20%,71.80%,,100.00%,28.20%,4.20%,0.90%,0.50%,0.10%,0.00%,14.00%,8.60%,71.80%,30.70%,14.40%,0.40%,20.90%,0.00%,1.50%,3.80%,,100.00%,93.10%,40.80%,13.80%,0.40%,2.10%,0.30%,23.40%,15.20%,0.90%,0.50%,6.50%,4.90%,6.90%,0.00%,0.00%,0.00%,6.90%,2.60%,4.30%,,100.00%,35.20%,15.90%,5.80%,0.90%,25.10%,17.50%,4.00%,0.80%,34.00%,21.00%,10.60%,3.10%,22.90%,27.50%,,100.00%,94.30%,5.70%,3.10%,0.50%,0.60%,0.30%,0.10%,1.10%,,(X),(X),,100.00%,19.80%,80.20%,False,30.7,14.4,20.9,0.4,1.5,28.2,False
Census Tract 29; Hudson County; New Jersey!!Percent,100.00%,6.10%,4.70%,3.50%,4.40%,8.60%,11.30%,12.30%,9.20%,7.10%,6.10%,5.50%,5.60%,4.80%,3.70%,2.90%,2.00%,1.20%,1.00%,,85.10%,83.60%,80.00%,13.40%,10.80%,100.00%,6.00%,4.70%,3.20%,4.40%,7.80%,11.50%,13.10%,10.40%,7.10%,5.90%,6.30%,5.80%,4.90%,3.50%,2.30%,1.50%,0.70%,0.70%,,85.60%,83.70%,80.70%,11.40%,8.80%,100.00%,6.20%,4.70%,3.70%,4.50%,9.50%,11.10%,11.30%,7.90%,7.10%,6.30%,4.70%,5.50%,4.70%,3.90%,3.50%,2.50%,1.60%,1.40%,,84.60%,83.40%,79.30%,15.50%,12.90%,,(X),(X),(X),,100.00%,90.60%,34.90%,10.30%,0.90%,36.20%,0.10%,8.20%,9.40%,,109.90%,42.50%,13.00%,1.40%,37.70%,0.30%,14.90%,,100.00%,17.70%,82.30%,,100.00%,17.70%,3.00%,0.70%,0.40%,0.20%,0.00%,7.20%,6.30%,82.30%,32.00%,9.60%,0.60%,35.90%,0.10%,1.00%,3.10%,,100.00%,94.40%,38.30%,14.80%,0.60%,2.30%,0.30%,22.60%,14.70%,1.20%,1.00%,6.40%,8.00%,5.60%,0.00%,0.00%,0.00%,5.60%,2.50%,3.20%,,100.00%,39.80%,18.10%,6.80%,1.10%,28.30%,19.20%,2.80%,1.10%,25.10%,14.40%,4.10%,1.80%,24.40%,19.90%,,100.00%,90.60%,9.40%,4.60%,0.10%,1.20%,0.70%,0.70%,2.20%,,(X),(X),,100.00%,30.00%,70.00%,False,32.0,9.6,35.9,0.6,1.0,17.7,False
Census Tract 30; Hudson County; New Jersey!!Percent,100.00%,7.30%,5.20%,4.10%,4.20%,6.70%,12.00%,11.90%,7.30%,6.10%,5.60%,5.40%,4.70%,5.10%,4.40%,3.80%,2.80%,2.00%,1.40%,,82.80%,81.00%,77.70%,16.70%,14.30%,100.00%,6.30%,4.30%,4.30%,4.20%,7.00%,12.20%,12.00%,7.80%,7.80%,5.60%,5.30%,5.40%,4.80%,3.70%,3.40%,2.30%,2.30%,1.30%,,84.50%,82.60%,78.80%,15.00%,13.00%,100.00%,8.30%,6.10%,3.90%,4.30%,6.30%,11.80%,11.70%,6.80%,4.40%,5.70%,5.50%,4.00%,5.40%,5.00%,4.20%,3.40%,1.60%,1.50%,,81.10%,79.40%,76.70%,18.40%,15.70%,,(X),(X),(X),,100.00%,88.90%,32.70%,16.00%,1.10%,18.10%,0.20%,20.80%,11.10%,,112.30%,41.30%,20.00%,2.40%,19.40%,0.60%,28.70%,,100.00%,33.30%,66.70%,,100.00%,33.30%,3.90%,1.60%,0.30%,0.10%,0.10%,19.60%,7.70%,66.70%,28.80%,14.40%,0.80%,18.00%,0.10%,1.20%,3.40%,,100.00%,99.20%,43.70%,12.30%,0.30%,2.10%,0.40%,25.90%,16.80%,1.70%,1.10%,5.90%,6.90%,0.80%,0.00%,0.00%,0.00%,0.80%,0.50%,0.30%,,100.00%,28.50%,13.10%,5.40%,1.20%,32.90%,22.80%,6.20%,1.80%,33.20%,19.20%,10.20%,5.30%,23.90%,27.00%,,100.00%,77.30%,22.70%,5.00%,1.10%,0.40%,0.50%,0.00%,15.70%,,(X),(X),,100.00%,14.90%,85.10%,False,28.8,14.4,18.0,0.8,1.2,33.3,False
